Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	Genesat150pct	ParalogWarnings
Acanthocalyx_nepalensis_ssp_delevaya	854502	316136	0.370	352	319	306	283	219	119	0	30
Lonicera_alpigena	3643	817	0.224	101	4	2	1	0	0	0	0
Vesalea_coriacea	280404	32235	0.115	331	163	151	104	29	6	0	0
Lonicera_xylosteum	186957	41482	0.222	319	231	222	161	63	23	0	1
Zabelia_dielsii	1110105	197219	0.178	352	312	302	283	214	116	0	24
Diabelia_tetrasepala	416006	77342	0.186	347	262	250	220	133	57	0	1
Valeriana_celtica	188734	5342	0.028	293	26	19	15	6	3	0	1
Lonicera_henryi	246600	70754	0.287	334	238	232	177	89	25	0	0
Symphoricarpos_sinensis	765447	89064	0.116	308	63	2	1	0	0	0	0
Dipsacus_fullomum	329976	120803	0.366	318	197	178	133	56	25	0	0
Succisella_inflexa	1129640	428492	0.379	339	243	222	183	85	32	0	2
Lonicera_floribunda	254137	57792	0.227	327	243	226	173	90	31	0	0
Sinadoxa_corydarifolia	166816	13354	0.080	208	38	27	16	3	2	0	0
Sambucus_pubens	146777	18834	0.128	263	61	49	25	11	3	0	0
Viburnum_coriaceum	359544	35959	0.100	327	177	167	117	52	17	0	0
Pterocephalus_canus	1732194	1021658	0.590	344	253	235	184	102	45	0	2
Lonicera_quinquelocuaris	138815	33859	0.244	322	196	187	133	58	21	0	0
Viburnum_acutifolium	2275486	42410	0.019	347	51	38	26	9	3	0	0
Plectritis_congesta	309625	34519	0.111	328	214	202	173	98	48	0	2
Leycesteria_formosa	628809	78857	0.125	343	253	243	180	91	36	0	1
Lomelosia_albocinta	1318400	534342	0.405	340	191	166	112	41	13	0	0
Lonicera_periclymenum	236720	65263	0.276	327	223	215	155	71	24	0	0
Tetradoxa_omeiensis	4033	622	0.154	58	3	3	0	0	0	0	0
Heptacodium_miconioides	515093	120512	0.234	339	259	249	204	100	36	0	0
Lonicera_tatarica	269903	72978	0.270	330	259	248	206	99	35	0	1
Viburnum_plicatum	197698	13933	0.070	323	87	78	57	25	7	0	0
Succisa_pratensis	338840	90287	0.266	324	226	213	171	81	34	0	2
Viburnum_taiwanianum	844219	22505	0.027	342	61	48	31	16	5	0	0
Morina_longifolia	413515	147768	0.357	350	316	305	282	229	150	1	47
Symphoricarpos_occidentalis	264360	66965	0.253	339	249	245	188	88	37	0	1
Lonicera_maackii	296545	83753	0.282	341	257	250	200	108	46	0	0
