Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	Genesat150pct	ParalogWarnings
Succisa_pratensis	338840	90287	0.266	324	227	211	169	82	35	0	2
Viburnum_luzonicum	348259	14419	0.041	321	79	63	41	19	6	0	0
Valeriana_prionophylla	346703	7033	0.020	281	55	39	25	10	3	0	0
Sambucus_cerulea	243364	36845	0.151	301	138	114	72	29	11	0	0
Lonicera_henryi	246600	70754	0.287	334	237	231	177	89	26	0	0
Viburnum_plicatum	197698	13933	0.070	323	95	68	50	21	6	0	0
Centranthus_ruber	314298	83493	0.266	338	285	274	259	196	107	0	39
Lonicera_xylosteum	186957	41482	0.222	319	233	220	160	64	23	0	1
Lonicera_tatarica	269903	72978	0.270	330	259	248	205	99	35	0	1
Symphoricarpos_occidentalis	264360	66965	0.253	339	252	246	189	88	38	0	1
Lonicera_nigra	2872	560	0.195	62	2	0	0	0	0	0	0
Viburnum_rufidulum	867405	199339	0.230	350	309	300	260	173	80	0	13
Sambucus_gaudichaudiana	305996	47141	0.154	309	137	118	83	25	10	0	0
Valeriana_virescens	1979090	73237	0.037	331	61	9	7	1	1	0	0
Dipsacus_fullonum	329976	120803	0.366	318	200	179	134	56	26	0	0
Succisella_inflexa	1129640	428501	0.379	339	243	222	183	85	32	0	2
Lonicera_fragrantissima	88584	20941	0.236	305	182	173	114	46	13	0	0
Sambucus_ebulus	307435	111371	0.362	339	277	270	225	132	49	0	0
Lonicera_pileata	415339	105788	0.255	339	245	234	183	84	34	0	2
Viburnum_dentatum	134427	3995	0.030	248	14	5	3	1	1	0	0
Linnaea_borealis	342813	71727	0.209	345	286	273	246	171	80	0	4
Viburnum_clemensiae	70269	1877	0.027	209	13	3	1	0	0	0	0
Scabiosa_columbaria	4880	480	0.098	75	5	1	0	0	0	0	0
Adoxa_moschatellina	1015992	151736	0.149	349	288	268	237	167	80	0	2
Patrinia_triloba	644722	175222	0.272	352	321	315	306	241	147	0	2
Cephalaria_gigantea	355907	86161	0.242	334	218	200	152	70	25	0	0
Plectritis_congesta	309625	34519	0.111	328	216	201	171	98	47	0	2
Paracryphia_alticola	574486	84203	0.147	348	302	294	263	162	76	0	4
Fedia_cornucopiae	206736	36621	0.177	334	212	201	181	122	64	0	18
Lonicera_periclymenum	236720	65263	0.276	327	225	216	156	72	25	0	0
Sambucus_pubens	146777	18834	0.128	263	76	53	27	11	3	0	0
Sinadoxa_corydalifolia	166816	13354	0.080	208	34	22	12	3	2	0	0
Viburnum_lantanoides	275311	9469	0.034	312	57	41	31	8	2	0	0
Viburnum_sieboldii	227508	2685	0.012	221	18	5	3	0	0	0	0
Scabiosa_mansenensis	3283	528	0.161	66	3	0	0	0	0	0	0
Pterocephalodes_hookeri	798042	157885	0.198	348	257	236	198	114	57	0	11
Viburnum_acutifolium	2275486	42410	0.019	347	63	38	27	10	3	0	0
Valeriana_lapathifolia	359645	17465	0.049	298	34	14	7	2	1	0	0
Triplostegia_glandulifera	552191	172187	0.312	345	308	295	274	196	104	0	1
Lonicera_quinquelocularis	138815	33859	0.244	322	200	191	135	58	21	0	0
Viburnum_jamesonii	203142	42548	0.209	329	198	185	127	53	23	0	0
Lomelosia_albocincta	1318400	534350	0.405	340	195	167	112	41	13	0	0
Bassecoia_siamensis	592404	129043	0.218	347	260	245	201	96	41	0	3
Valeriana_officinalis	264400	5628	0.021	271	35	12	9	5	1	0	0
Dipelta_floribunda	332273	81436	0.245	347	298	288	266	195	100	0	5
Viburnum_cinnamomifolium	173097	42282	0.244	308	151	140	92	36	10	0	0
Valeriana_supina	39155	172	0.004	24	1	0	0	0	0	0	0
Viburnum_coriaceum	359544	35959	0.100	327	180	168	118	52	17	0	0
Diabelia_tetrasepala	416006	77342	0.186	347	266	250	219	134	58	0	1
Morina_longifolia	413515	147768	0.357	350	318	304	281	228	150	1	47
Heptacodium_miconioides	515093	120512	0.234	339	259	249	204	100	36	0	0
Knautia_macedonica	516566	98360	0.190	334	203	185	137	65	23	0	0
Kolkwitzia_amabilis	362732	71090	0.196	348	283	275	254	187	91	0	4
Lonicera_maackii	296545	83753	0.282	341	260	252	201	109	47	0	0
Acanthocalyx_nepalensis	854502	316136	0.370	352	325	306	283	220	120	0	31
Leycesteria_formosa	628809	78857	0.125	343	256	243	180	92	37	0	1
Sixalix_farinosa	177227	52162	0.294	319	242	231	192	104	45	0	0
Viburnum_lutescens	319924	40594	0.127	333	173	167	125	53	18	0	0
Lonicera_alpigena	3643	817	0.224	101	5	1	1	0	0	0	0
Lonicera_caerulea	947974	226213	0.239	347	303	290	248	155	62	0	4
Vesalea_coriacea	280404	32235	0.115	331	168	152	103	30	7	0	0
Lonicera_floribunda	254137	57792	0.227	327	241	224	172	90	31	0	0
Lonicera_ferdinandi	319190	81957	0.257	335	244	234	179	81	31	0	1
Valeriana_pyrenaica	190552	4155	0.022	240	37	19	13	3	1	0	0
Symphoricarpos_sinensis	765447	89064	0.116	308	68	3	1	0	0	0	0
Abelia_uniflora	710977	135737	0.191	348	204	188	137	55	14	0	0
Viburnum_amplificatum	185359	4635	0.025	274	24	9	5	0	0	0	0
Viburnum_rhytidophyllum	307920	26708	0.087	310	145	133	92	32	13	0	0
Zabelia_tyaihyoni	306010	68535	0.224	346	240	230	184	104	46	0	8
Lonicera_standishii	160794	31568	0.196	315	197	186	141	64	21	0	0
Valerianella_locusta	14740	693	0.047	128	2	0	0	0	0	0	0
Valeriana_microphylla	835065	229875	0.275	347	311	299	291	237	151	1	5
Pterocephalus_canus	1732197	1021676	0.590	344	258	238	185	101	45	0	2
Weigela_florida	299836	73621	0.246	341	272	263	227	132	57	0	4
Viburnum_orientale	334579	11838	0.035	317	64	43	24	6	1	0	0
Ilex_crenata	534377	116377	0.218	350	327	321	297	226	127	0	6
Zabelia_dielsii	1110105	197218	0.178	352	314	300	283	214	116	0	25
Pterocephalus_sanctus	2325312	1848287	0.795	302	85	56	27	10	4	0	0
Valeriana_laxiflora	427201	12112	0.028	284	43	15	13	2	0	0	0
Valeriana_tuberosa	718354	10801	0.015	321	57	14	12	5	1	0	0
Triosteum_himalayanum	267946	59346	0.221	334	261	257	219	115	45	0	0
Valeriana_celtica	188734	5342	0.028	293	47	30	18	4	3	0	1
Tetradoxa_omeiensis	4033	622	0.154	58	11	6	2	0	0	0	0
Diervilla_sessilifolia	899333	147674	0.164	351	301	290	257	135	62	0	1
Lonicera_orientalis	422126	111970	0.265	338	280	270	232	117	44	0	0
Nardostachys_jatamansi	331702	86778	0.262	344	295	287	273	211	113	0	5
Valeriana_lobata	445096	159600	0.359	342	232	215	191	114	47	1	11
Viburnum_punctatum	140981	4900	0.035	277	23	9	4	1	0	0	0
Viburnum_sargentii	239047	5791	0.024	287	28	12	5	2	1	0	0
Lonicera_gynochlamydea	377438	98043	0.260	338	265	256	209	107	35	0	1
Viburnum_taiwanianum	844219	22505	0.027	342	80	52	34	18	5	0	0
Viburnum_vernicosum	410317	89367	0.218	331	236	225	169	85	32	0	0
Valeriana_wallrothii	497757	12573	0.025	317	58	37	24	10	1	0	0
Valeriana_polemonifolia	276426	6611	0.024	263	21	6	4	2	1	0	0
Knautia_dipsacifolia	21564	1508	0.070	182	12	1	1	0	0	0	0
Cryptothladia_kokonorica	1785216	602399	0.337	351	341	327	312	259	171	0	52
