Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	Genesat150pct	ParalogWarnings
Succisa_pratensis	341644	99538	0.291	334	236	225	184	102	47	0	14
Viburnum_luzonicum	348367	18577	0.053	330	81	61	43	20	9	0	0
Valeriana_prionophylla	346970	8540	0.025	305	63	41	31	18	4	0	0
Sambucus_cerulea	243912	41436	0.170	309	141	111	80	38	11	0	1
Lonicera_henryi	248266	76432	0.308	334	246	232	189	105	39	0	2
Viburnum_plicatum	198292	16675	0.084	329	104	73	56	30	6	0	3
Centranthus_ruber	321136	103081	0.321	344	295	282	241	187	106	0	89
Lonicera_xylosteum	188212	46030	0.245	322	235	217	174	79	30	0	6
Lonicera_tatarica	271973	80477	0.296	332	263	247	215	117	45	0	5
Symphoricarpos_occidentalis	266169	73838	0.277	340	259	245	209	113	44	1	6
Lonicera_nigra	2877	608	0.211	70	4	0	0	0	0	0	0
Viburnum_rufidulum	872384	221104	0.253	350	310	298	238	138	72	0	44
Sambucus_gaudichaudiana	306391	52080	0.170	315	144	120	94	31	9	0	0
Valeriana_virescens	1979803	82072	0.041	335	75	8	6	1	1	0	0
Dipsacus_fullonum	332445	128683	0.387	319	215	188	149	74	33	0	6
Succisella_inflexa	1134516	450408	0.397	339	254	233	199	115	43	0	9
Lonicera_fragrantissima	89095	23258	0.261	310	191	170	127	57	19	0	0
Sambucus_ebulus	310329	122149	0.394	342	283	263	224	146	61	0	9
Lonicera_pileata	416863	114211	0.274	339	248	233	189	100	38	0	6
Viburnum_dentatum	134453	5354	0.040	257	21	4	3	2	1	0	0
Linnaea_borealis	346181	83688	0.242	348	296	281	262	213	124	0	7
Viburnum_clemensiae	70306	2497	0.036	223	18	3	1	0	0	0	0
Scabiosa_columbaria	4900	525	0.107	83	5	1	0	0	0	0	0
Adoxa_moschatellina	1020114	169532	0.166	349	296	280	242	172	99	0	23
Patrinia_triloba	657047	205912	0.313	352	326	322	316	273	203	0	10
Cephalaria_gigantea	357714	95060	0.266	340	225	209	172	96	37	0	7
Plectritis_congesta	311198	41283	0.133	335	230	215	179	122	62	0	14
Paracryphia_alticola	575711	96075	0.167	348	304	290	263	170	87	0	22
Fedia_cornucopiae	209393	44491	0.212	339	223	214	193	136	82	0	43
Lonicera_periclymenum	238338	70848	0.297	331	235	213	169	87	35	1	7
Sambucus_pubens	147079	21299	0.145	273	82	51	32	14	3	0	1
Sinadoxa_corydalifolia	166934	14706	0.088	226	38	24	15	4	1	0	0
Viburnum_lantanoides	275380	11955	0.043	320	60	41	33	11	4	0	0
Viburnum_sieboldii	227523	3519	0.015	232	21	4	2	0	0	0	0
Scabiosa_mansenensis	3288	572	0.174	70	3	0	0	0	0	0	0
Pterocephalodes_hookeri	802108	174920	0.218	349	270	246	202	125	63	0	35
Viburnum_acutifolium	2275725	55207	0.024	348	63	38	29	11	4	0	0
Valeriana_lapathifolia	359934	19421	0.054	312	45	18	13	3	2	0	0
Triplostegia_glandulifera	561345	196834	0.351	346	312	298	288	227	151	0	6
Lonicera_quinquelocularis	139874	37263	0.266	324	200	185	144	73	31	0	0
Viburnum_jamesonii	203484	46506	0.229	330	200	180	128	63	22	0	8
Lomelosia_albocincta	1319741	564140	0.427	345	215	185	144	58	20	0	2
Bassecoia_siamensis	594894	142702	0.240	347	271	257	228	131	64	0	14
