Genus,Species,Accession No,Concentration (ng/uL),Starting volume (uL),Total mass (ng),Volume DNA for 200ng (orange if we do not have enough for 200ng),Volume Tris to add to bring to 52.5uL
Abelia,uniflora,Ex 12,4.3,52.5,225.75,46.5,6.0
Acanthocalyx,nepalensis ssp. delevaya,Boufford 28374,95,100,9500,2.1,50.4
Adoxa,moschatellina,Tank 120,101,430,43430,2.0,50.5
Bassecoia,siamensis,256,2.60,10,26,76.9,42.5
Centranthus,ruber,9-18-08 WC,11.6,65,754,17.2,35.3
Cephalaria,gigantea,19743238,686,100,68600,1.0,51.5
Cryptothladia,kokonorica,Boufford 26762,51.6,100,5160,3.9,48.6
Diabelia,tetrasepala,Ex 10,3.9,100,390,51.3,1.2
Diervilla,sessilifolia,201-2004A,13.1,100,1310,15.3,37.2
Dipelta,floribunda,1650-80E,191,100,19100,1.0,51.5
Dipsacus,fullonum,19801959,83,100,8300,2.4,50.1
Fedia,cornucopiae,Bell 279,14.9,10,149,13.4,42.5
Heptacodium,miconioides,Tank 105,12.8,50,640,15.6,36.9
Knautia,dipsacifolia,19762161,58.8,100,5880,3.4,49.1
Knautia,macedonica,19931628-68,78.4,100,7840,2.6,49.9
Kolkwitzia,amabilis,9-18-08 WC,47.2,80,3776,4.2,48.3
Leycesteria,formosa,Boufford 29815,25.6,100,2560,7.8,44.7
Linnaea,borealis,198-2015A,25.2,100,2520,7.9,44.6
Lomelosia,albocincta,191,18,25,450,11.1,41.4
Lonicera,alpigena,1310-84-A,250,100,25000,1.0,51.5
Lonicera,caerulea,249-96-B,30.2,100,3020,6.6,45.9
Lonicera,ferdinandi,56387A,27.2,100,2720,7.4,45.1
Lonicera,floribunda,240-96-B,70.2,100,7020,2.8,49.7
Lonicera,fragrantissima,9-12-08 WC,84.6,75,6345,2.4,50.1
Lonicera,gynochlamydea,15032-A,250,100,25000,1.0,51.5
Lonicera,henryi,1969-80-MASS,62.4,100,6240,3.2,49.3
Lonicera,maackii,7190-B,366,100,36600,1.0,51.5
Lonicera,nigra,118-2000-A,250,100,25000,1.0,51.5
Lonicera,orientalis,1240-84-A,20.2,100,2020,9.9,42.6
Lonicera,periclymenum,276-2007-MASS,37.6,100,3760,5.3,47.2
Lonicera,pileata,18-92-D,15.1,100,1510,13.2,39.3
Lonicera,quinquelocularis,436-72-B,58.2,100,5820,3.4,49.1
Lonicera,standishii,6669-1B,32,100,3200,6.3,46.3
Lonicera,tatarica,299-78-A,140,100,14000,1.4,51.1
