Genus,Species,Row,Column,"Concentration after 12 (green), 14 (yellow), 16  (red) cycles",Total DNA (ng),Cycles,"Concentration after 12 (green), 14 (yellow), 16  (red) cycles",Wells,Total DNA (ng),Volume for 100ng,Volume from first to add,Pool Number
Abelia,uniflora,F,3,13.0,247.0,12,10.4,F3,197.6,9.6,0.0,6
Acanthocalyx,nepalensis ssp. delevaya,E,4,38.2,725.8,12,49.2,E4,934.8,2.0,0.0,8
Adoxa,moschatellina,B,9,59.2,1124.8,12,85.0,B9,1615.0,1.2,0.0,4
Bassecoia,siamensis,D,4,5.04,95.76,16,10.9,D4,207.1,9.2,0.0,8
Centranthus,ruber,A,4,59.8,1136.2,12,104,A4,1976,1.0,0.0,8
Cephalaria,gigantea,C,10,37.4,710.6,12,54.2,C10,1029.8,1.8,0.0,7
Cryptothladia,kokonorica,H,9,24.6,467.4,12,24.8,H9,471.2,4.0,0.0,8
Diabelia,tetrasepala,E,1,23.4,444.6,12,22.4,E1,425.6,4.5,0.0,6
Diervilla,sessilifolia,G,9,49.2,934.8,12,58.6,G9,1113.4,1.7,0.0,5
Dipelta,floribunda,D,6,44.0,836.0,12,49.0,D6,931.0,2.0,0.0,6
Dipsacus,fullonum,B,11,46.2,877.8,12,69.4,B11,1318.6,1.4,0.0,7
Fedia,cornucopiae,C,2,84.0,1596.0,12,106,C2,2014,0.9,0.0,8
Heptacodium,miconioides,E,11,16.5,313.5,12,17.2,E11,326.8,5.8,0.0,5
Ilex,crenata,G,12,42.0,798.0,12,47.6,G12,904.4,2.1,0.0,6
Knautia,dipsacifolia,H,8,42.0,798.0,12,39.4,H8,748.6,2.5,0.0,7
Knautia,macedonica,E,12,31.8,604.2,12,40.0,E12,760.0,2.5,0.0,7
Kolkwitzia,amabilis,E,2,57.2,1086.8,12,78.2,E2,1485.8,1.3,0.0,6
Leycesteria,formosa,E,5,46.2,877.8,12,51.0,E5,969.0,2.0,0.0,5
Linnaea,borealis,B,6,30.6,581.4,12,30.6,B6,581.4,3.3,0.0,6
