Genus,Species,Row,Column,Cycles,"Concentration after 12 (green), 14 (yellow), 16  (red) cycles",Total DNA (ng),"Concentration after 12 (green), 14 (yellow), 16  (red) cycles",Wells,Total DNA (ng),Volume for 100ng,Volume from first to add,Pool Number
Lonicera,henryi,A,2,12,36.4,691.6,53.8,A2,1022.2,1.9,0.0,1
Lonicera,quinquelocuaris,D,12,12,37.2,706.8,50.0,D12,950.0,2.0,0.0,1
Lonicera,floribunda,F,10,12,35.2,668.8,48.6,F10,923.4,2.1,0.0,1
Lonicera,tatarica,A,6,12,39.2,744.8,47.6,A6,904.4,2.1,0.0,1
Lonicera,maackii,E,3,12,39.8,756.2,42.2,E3,801.8,2.4,0.0,1
Lonicera,orientalis,H,1,12,39.6,752.4,41.4,H1,786.6,2.4,0.0,1
Lonicera,caerulea,E,9,12,30.4,577.6,41.4,E9,786.6,2.4,0.0,1
Lonicera,gynochlamydea,H,3,12,26.2,497.8,34.2,H3,649.8,2.9,0.0,1
Lonicera,pileata,B,4,12,23.8,452.2,33.4,B4,634.6,3.0,0.0,1
Lonicera,ferdinandi,F,11,12,37.4,710.6,33.0,F11,627.0,3.0,0.0,1
Lonicera,periclymenum,C,3,12,24.4,463.6,32.2,C3,611.8,3.1,0.0,1
Lonicera,fragrantissima,B,2,12,15.6,296.4,15.6,B2,296.4,6.4,0.0,1
Valeriana,laxiflora,G,4,12,64.8,1231.2,110,G4,2090,0.9,0.0,2
Valeriana,prinophylla,A,11,12,70.8,1345.2,94.8,A11,1801.2,1.1,0.0,2
Valeriana,polemoniifolia,H,7,12,62.2,1181.8,87.2,H7,1656.8,1.1,0.0,2
Valeriana,celtica,G,7,12,69.4,1318.6,85.6,G7,1626.4,1.2,0.0,2
Valeriana,virescens,B,10,12,66.6,1265.4,85.6,B10,1626.4,1.2,0.0,2
Valeriana,lapathifolia,D,10,12,65.2,1238.8,82.2,D10,1561.8,1.2,0.0,2
Valeriana,microphylla,F,9,12,49.0,931.0,71.6,F9,1360.4,1.4,0.0,2
Valeriana,supina,D,8,12,59.0,1121.0,66.8,D8,1269.2,1.5,0.0,2
Valeriana,pyrennica,F,12,12,43.4,824.6,56.6,F12,1075.4,1.8,0.0,2
Valeriana,officinalis,D,5,12,50.4,957.6,49.6,D5,942.4,2.0,0.0,2
Valeriana,wallrothii,H,6,12,35.0,665.0,27.4,H6,520.6,3.6,0.0,2
Valeriana,tuberosa,G,5,12,76.2,1447.8,LOW,G5,LOW,NONE,1.3,2
