Alignment_name	No_of_taxa	Alignment_length	Total_matrix_cells	Undetermined_characters	Missing_percent	No_variable_sites	Proportion_variable_sites	Parsimony_informative_sites	Proportion_parsimony_informative	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
dna.gene.aln	64	142825	9140800	4777855	52.27	72950	0.511	49661	0.348	0.565	0.435	1250669	794391	1102702	1215183	0	0	0	0	0	0	0	0	0	0	0	0	0	1898105	2879750
6552_30.fasta	44	408	17952	7005	39.021	201	0.493	122	0.299	0.572	0.428	3062	2118	2617	3150	0	0	0	0	0	0	0	0	0	0	0	0	0	7005	0
5551_30.fasta	41	273	11193	3562	31.823	194	0.711	160	0.586	0.573	0.427	2338	1483	1780	2030	0	0	0	0	0	0	0	0	0	0	0	0	0	3562	0
6487_30.fasta	45	1407	63315	32675	51.607	677	0.481	459	0.326	0.516	0.484	8136	6443	8519	7542	0	0	0	0	0	0	0	0	0	0	0	0	0	32675	0
6785_30.fasta	13	237	3081	1053	34.177	58	0.245	29	0.122	0.534	0.466	603	354	587	484	0	0	0	0	0	0	0	0	0	0	0	0	0	1053	0
6488_30.fasta	41	246	10086	3078	30.518	101	0.411	63	0.256	0.581	0.419	2227	997	1938	1846	0	0	0	0	0	0	0	0	0	0	0	0	0	3078	0
5280_30.fasta	53	582	30846	5578	18.083	252	0.433	198	0.34	0.598	0.402	6896	5043	5538	7791	0	0	0	0	0	0	0	0	0	0	0	0	0	5578	0
5355_30.fasta	49	300	14700	66	0.449	143	0.477	117	0.39	0.57	0.43	4596	2233	4066	3739	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0
6003_30.fasta	40	237	9480	288	3.038	95	0.401	76	0.321	0.564	0.436	3155	1742	2264	2031	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0
6439_30.fasta	55	420	23100	6985	30.238	220	0.524	151	0.36	0.57	0.43	4736	2536	4381	4462	0	0	0	0	0	0	0	0	0	0	0	0	0	6985	0
5865_30.fasta	50	828	41400	10986	26.536	486	0.587	327	0.395	0.6	0.4	10282	5099	7063	7970	0	0	0	0	0	0	0	0	0	0	0	0	0	10986	0
6130_30.fasta	23	315	7245	1941	26.791	104	0.33	53	0.168	0.53	0.47	1377	1183	1282	1462	0	0	0	0	0	0	0	0	0	0	0	0	0	1941	0
6498_30.fasta	18	285	5130	231	4.503	103	0.361	78	0.274	0.534	0.466	1148	1078	1198	1475	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0
5822_30.fasta	37	153	5661	135	2.385	74	0.484	49	0.32	0.517	0.483	1430	1028	1640	1428	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0
5770_30.fasta	30	591	17730	8387	47.304	332	0.562	253	0.428	0.591	0.409	3444	1496	2295	2108	0	0	0	0	0	0	0	0	0	0	0	0	0	8387	0
5949_30.fasta	41	477	19557	7738	39.566	218	0.457	155	0.325	0.567	0.433	3589	2200	2946	3084	0	0	0	0	0	0	0	0	0	0	0	0	0	7738	0
5893_30.fasta	18	301	5418	2198	40.568	168	0.558	111	0.369	0.47	0.53	633	1148	547	892	0	0	0	0	0	0	0	0	0	0	0	0	0	2198	0
4942_30.fasta	41	373	15293	5325	34.82	298	0.799	261	0.7	0.555	0.445	2481	2086	2358	3043	0	0	0	0	0	0	0	0	0	0	0	0	0	5325	0
5614_30.fasta	60	1719	103140	39439	38.238	1113	0.647	768	0.447	0.54	0.46	17085	12287	16885	17444	0	0	0	0	0	0	0	0	0	0	0	0	0	39439	0
5123_30.fasta	47	453	21291	8249	38.744	299	0.66	212	0.468	0.571	0.429	3602	2350	3227	3863	0	0	0	0	0	0	0	0	0	0	0	0	0	8249	0
4744_30.fasta	7	174	1218	216	17.734	85	0.489	63	0.362	0.605	0.395	304	169	219	310	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0
4691_30.fasta	24	267	6408	339	5.29	111	0.416	76	0.285	0.535	0.465	1590	1289	1530	1660	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0
6379_30.fasta	14	219	3066	63	2.055	75	0.342	46	0.21	0.562	0.438	805	670	642	886	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0
5921_30.fasta	58	1887	109446	47008	42.951	1240	0.657	853	0.452	0.602	0.398	22536	10034	14713	15155	0	0	0	0	0	0	0	0	0	0	0	0	0	47008	0
6376_30.fasta	42	423	17766	6210	34.954	159	0.376	90	0.213	0.551	0.449	3268	2083	3044	3161	0	0	0	0	0	0	0	0	0	0	0	0	0	6210	0
6148_30.fasta	40	258	10320	447	4.331	146	0.566	110	0.426	0.577	0.423	3122	1782	2386	2583	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0
6572_30.fasta	50	330	16500	4918	29.806	198	0.6	147	0.445	0.568	0.432	3311	1823	3198	3250	0	0	0	0	0	0	0	0	0	0	0	0	0	4918	0
7241_30.fasta	17	300	5100	870	17.059	108	0.36	65	0.217	0.542	0.458	988	940	998	1304	0	0	0	0	0	0	0	0	0	0	0	0	0	870	0
6110_30.fasta	55	342	18810	4341	23.078	157	0.459	117	0.342	0.549	0.451	4347	3272	3201	3649	0	0	0	0	0	0	0	0	0	0	0	0	0	4341	0
5990_30.fasta	12	210	2520	696	27.619	62	0.295	20	0.095	0.546	0.454	562	343	484	435	0	0	0	0	0	0	0	0	0	0	0	0	0	696	0
7028_30.fasta	54	294	15876	1542	9.713	169	0.575	136	0.463	0.585	0.415	4417	2136	3790	3991	0	0	0	0	0	0	0	0	0	0	0	0	0	1542	0
7325_30.fasta	10	324	3240	804	24.815	53	0.164	30	0.093	0.503	0.497	625	777	429	605	0	0	0	0	0	0	0	0	0	0	0	0	0	804	0
6366_30.fasta	26	138	3588	141	3.93	67	0.486	27	0.196	0.582	0.418	845	541	900	1161	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0
6689_30.fasta	54	564	30456	9712	31.889	283	0.502	190	0.337	0.559	0.441	5282	3132	6017	6313	0	0	0	0	0	0	0	0	0	0	0	0	0	9712	0
6064_30.fasta	15	351	5265	876	16.638	125	0.356	52	0.148	0.59	0.41	1279	825	981	1304	0	0	0	0	0	0	0	0	0	0	0	0	0	876	0
4806_30.fasta	45	522	23490	8496	36.169	263	0.504	172	0.33	0.556	0.444	4278	2759	3851	4106	0	0	0	0	0	0	0	0	0	0	0	0	0	8496	0
6660_30.fasta	40	571	22840	9114	39.904	310	0.543	183	0.32	0.57	0.43	4296	2043	3850	3537	0	0	0	0	0	0	0	0	0	0	0	0	0	9114	0
5536_30.fasta	13	150	1950	228	11.692	100	0.667	87	0.58	0.572	0.428	543	317	418	444	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0
5980_30.fasta	39	198	7722	399	5.167	77	0.389	57	0.288	0.583	0.417	2272	1291	1777	1983	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0
5634_30.fasta	44	474	20856	7544	36.172	210	0.443	131	0.276	0.546	0.454	3711	2726	3279	3596	0	0	0	0	0	0	0	0	0	0	0	0	0	7544	0
6406_30.fasta	38	234	8892	2499	28.104	108	0.462	61	0.261	0.595	0.405	1818	1312	1297	1966	0	0	0	0	0	0	0	0	0	0	0	0	0	2499	0
7174_30.fasta	47	898	42206	19018	45.06	565	0.629	301	0.335	0.555	0.445	6624	4077	6147	6340	0	0	0	0	0	0	0	0	0	0	0	0	0	19018	0
5791_30.fasta	34	360	12240	5493	44.877	282	0.783	236	0.656	0.593	0.407	2110	1295	1433	1909	0	0	0	0	0	0	0	0	0	0	0	0	0	5493	0
6792_30.fasta	45	273	12285	3923	31.933	112	0.41	75	0.275	0.544	0.456	2384	1677	2147	2154	0	0	0	0	0	0	0	0	0	0	0	0	0	3923	0
7279_30.fasta	45	471	21195	7509	35.428	355	0.754	259	0.55	0.578	0.422	4224	2388	3354	3720	0	0	0	0	0	0	0	0	0	0	0	0	0	7509	0
5644_30.fasta	41	405	16605	6029	36.308	231	0.57	121	0.299	0.575	0.425	3034	2067	2390	3085	0	0	0	0	0	0	0	0	0	0	0	0	0	6029	0
4471_30.fasta	57	609	34713	12519	36.064	274	0.45	167	0.274	0.597	0.403	5864	3926	5047	7357	0	0	0	0	0	0	0	0	0	0	0	0	0	12519	0
5919_30.fasta	47	453	21291	1588	7.459	240	0.53	175	0.386	0.553	0.447	5993	3509	5311	4890	0	0	0	0	0	0	0	0	0	0	0	0	0	1588	0
5894_30.fasta	28	159	4452	252	5.66	64	0.403	42	0.264	0.602	0.398	1410	695	977	1118	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0
5422_30.fasta	31	192	5952	171	2.873	67	0.349	41	0.214	0.581	0.419	1665	1032	1395	1689	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0
5018_30.fasta	48	573	27504	11787	42.856	277	0.483	156	0.272	0.573	0.427	4301	2873	3801	4742	0	0	0	0	0	0	0	0	0	0	0	0	0	11787	0
4890_30.fasta	50	348	17400	5757	33.086	205	0.589	131	0.376	0.558	0.442	3315	2228	2975	3125	0	0	0	0	0	0	0	0	0	0	0	0	0	5757	0
5941_30.fasta	13	261	3393	1344	39.611	119	0.456	65	0.249	0.555	0.445	559	501	436	553	0	0	0	0	0	0	0	0	0	0	0	0	0	1344	0
4724_30.fasta	43	681	29283	13527	46.194	346	0.508	238	0.349	0.59	0.41	4823	2977	3445	4511	0	0	0	0	0	0	0	0	0	0	0	0	0	13527	0
5163_30.fasta	51	553	28203	11111	39.397	312	0.564	255	0.461	0.59	0.41	5398	3084	3918	4692	0	0	0	0	0	0	0	0	0	0	0	0	0	11111	0
6782_30.fasta	43	351	15093	2976	19.718	131	0.373	91	0.259	0.532	0.468	3162	2029	3621	3305	0	0	0	0	0	0	0	0	0	0	0	0	0	2976	0
6284_30.fasta	49	852	41748	11523	27.601	460	0.54	332	0.39	0.546	0.454	5248	6502	7341	11134	0	0	0	0	0	0	0	0	0	0	0	0	0	11523	0
6004_30.fasta	55	295	16225	3692	22.755	182	0.617	156	0.529	0.568	0.432	3436	1608	3788	3701	0	0	0	0	0	0	0	0	0	0	0	0	0	3692	0
6459_30.fasta	52	135	7020	86	1.225	66	0.489	38	0.281	0.518	0.482	1423	1341	1999	2171	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0
7067_30.fasta	47	213	10011	1356	13.545	100	0.469	78	0.366	0.573	0.427	2407	1363	2336	2549	0	0	0	0	0	0	0	0	0	0	0	0	0	1356	0
4932_30.fasta	53	510	27030	5874	21.731	272	0.533	169	0.331	0.597	0.403	6405	3121	5306	6324	0	0	0	0	0	0	0	0	0	0	0	0	0	5874	0
5936_30.fasta	33	276	9108	2745	30.138	97	0.351	51	0.185	0.563	0.437	1778	1134	1640	1811	0	0	0	0	0	0	0	0	0	0	0	0	0	2745	0
6150_30.fasta	33	318	10494	2480	23.633	160	0.503	106	0.333	0.583	0.417	2512	1454	1826	2222	0	0	0	0	0	0	0	0	0	0	0	0	0	2480	0
